Year,Month,Day,Hour,Demand
2015,1,31,1,954.2018
2015,1,31,2,913.866
2015,1,31,3,903.3637
2015,1,31,4,889.0806
2015,1,31,5,910.1472
2015,1,31,6,922.1737
2015,1,31,7,939.9442
2015,1,31,8,1077.8575
2015,1,31,9,1179.6601
2015,1,31,10,1255.1569
2015,1,31,11,1253.4414
2015,1,31,12,1223.6116
2015,1,31,13,1160.2838
2015,1,31,14,1124.8878
2015,1,31,15,1112.4189
2015,1,31,16,1081.7406
2015,1,31,17,1064.8583
2015,1,31,18,1095.5704
2015,1,31,19,1116.6654
2015,1,31,20,1094.677
2015,1,31,21,1075.2083
2015,1,31,22,1041.0831
2015,1,31,23,988.5723
2015,2,1,0,939.5286
2015,2,1,1,904.3712
2015,2,1,2,883.9448
2015,2,1,3,871.9966
2015,2,1,4,856.8211
2015,2,1,5,849.8465
2015,2,1,6,822.266
2015,2,1,7,838.5545
2015,2,1,8,899.4324
2015,2,1,9,965.9481
2015,2,1,10,1002.2078
2015,2,1,11,1056.399
2015,2,1,12,1056.4006
2015,2,1,13,1077.2239
2015,2,1,14,1088.7217
2015,2,1,15,1046.6546
2015,2,1,16,1017.8311
2015,2,1,17,1006.1248
2015,2,1,18,1046.1947
2015,2,1,19,1091.9585
2015,2,1,20,1090.4694
2015,2,1,21,1091.6983
2015,2,1,22,1034.9049
2015,2,1,23,994.0731
2015,2,2,0,943.5229
2015,2,2,1,905.0674
2015,2,2,2,879.561
2015,2,2,3,866.0936
2015,2,2,4,867.6498
2015,2,2,5,894.4236
2015,2,2,6,932.014
2015,2,2,7,1056.5999
2015,2,2,8,1243.7667
2015,2,2,9,1374.76
2015,2,2,10,1422.2283
2015,2,2,11,1462.1711
2015,2,2,12,1459.8766
2015,2,2,13,1485.6554
2015,2,2,14,1495.018
2015,2,2,15,1457.9692
2015,2,2,16,1388.2991
2015,2,2,17,1263.3674
2015,2,2,18,1249.8193
2015,2,2,19,1225.9572
2015,2,2,20,1197.0408
2015,2,2,21,1164.1552
2015,2,2,22,1098.1941
2015,2,2,23,1036.7564
2015,2,3,0,986.2283
2015,2,3,1,942.6513
2015,2,3,2,917.1786
2015,2,3,3,898.5525
2015,2,3,4,883.5186
2015,2,3,5,898.3382
2015,2,3,6,917.6998
2015,2,3,7,1033.7912
2015,2,3,8,1220.7781
2015,2,3,9,1360.6455
2015,2,3,10,1424.2357
2015,2,3,11,1447.1545
2015,2,3,12,1443.6939
2015,2,3,13,1471.9474
2015,2,3,14,1476.5739
2015,2,3,15,1456.7079
2015,2,3,16,1366.3884
2015,2,3,17,1228.8708
2015,2,3,18,1232.1654
2015,2,3,19,1211.1949
2015,2,3,20,1181.0512
2015,2,3,21,1133.2501
2015,2,3,22,1074.3844
2015,2,3,23,1007.2665
2015,2,4,0,970.3767
2015,2,4,1,954.0226
2015,2,4,2,933.7406
2015,2,4,3,917.1011
2015,2,4,4,911.268
2015,2,4,5,927.4581
2015,2,4,6,939.9341
2015,2,4,7,1052.5742
2015,2,4,8,1232.5473
2015,2,4,9,1351.5336
2015,2,4,10,1456.9474
2015,2,4,11,1458.099
2015,2,4,12,1442.4243
2015,2,4,13,1449.5299
2015,2,4,14,1433.4813
2015,2,4,15,1380.0214
2015,2,4,16,1321.5847
2015,2,4,17,1206.1117
2015,2,4,18,1212.8491
2015,2,4,19,1196.0489
2015,2,4,20,1159.6063
2015,2,4,21,1141.6525
2015,2,4,22,1092.4285
2015,2,4,23,1033.5194
2015,2,5,0,1008.4029
2015,2,5,1,953.2703
2015,2,5,2,913.8484
2015,2,5,3,886.9057
2015,2,5,4,906.5942
2015,2,5,5,926.1827
2015,2,5,6,933.3929
2015,2,5,7,1020.2094
2015,2,5,8,1192.1581
2015,2,5,9,1282.7577
2015,2,5,10,1362.9883
2015,2,5,11,1400.2716
2015,2,5,12,1399.6592
2015,2,5,13,1415.1465
2015,2,5,14,1425.6309
2015,2,5,15,1399.3385
2015,2,5,16,1322.7243
2015,2,5,17,1196.7893
2015,2,5,18,1177.1433
2015,2,5,19,1217.1621
2015,2,5,20,1159.4884
2015,2,5,21,1125.3567
2015,2,5,22,1080.8335
2015,2,5,23,1036.0302
2015,2,6,0,967.2161
2015,2,6,1,968.5689
2015,2,6,2,919.9696
2015,2,6,3,900.683
2015,2,6,4,887.1948
2015,2,6,5,894.5465
2015,2,6,6,939.4745
2015,2,6,7,1029.9243
2015,2,6,8,1192.5079
2015,2,6,9,1295.6597
2015,2,6,10,1362.0753
2015,2,6,11,1393.1365
2015,2,6,12,1380.6543
2015,2,6,13,1374.2628
2015,2,6,14,1362.2693
2015,2,6,15,1322.2975
2015,2,6,16,1239.4388
2015,2,6,17,1155.213
2015,2,6,18,1186.6963
2015,2,6,19,1210.2366
2015,2,6,20,1147.4526
2015,2,6,21,1120.8447
2015,2,6,22,1069.1463
2015,2,6,23,1024.2274
2015,2,7,0,963.816
2015,2,7,1,918.182
2015,2,7,2,892.3819
2015,2,7,3,877.2844
2015,2,7,4,862.8613
2015,2,7,5,847.2567
2015,2,7,6,851.5046
2015,2,7,7,911.4666
2015,2,7,8,1031.0258
2015,2,7,9,1122.959
2015,2,7,10,1174.2232
2015,2,7,11,1196.2864
2015,2,7,12,1175.6091
2015,2,7,13,1142.5126
2015,2,7,14,1131.4155
2015,2,7,15,1108.3184
2015,2,7,16,1064.9148
2015,2,7,17,1041.11
2015,2,7,18,1074.9203
2015,2,7,19,1090.9217
2015,2,7,20,1073.7257
2015,2,7,21,1039.5453
2015,2,7,22,995.0939
2015,2,7,23,947.0567
2015,2,8,0,909.0724
2015,2,8,1,886.7516
2015,2,8,2,881.6221
2015,2,8,3,854.9468
2015,2,8,4,834.4891
2015,2,8,5,826.144
2015,2,8,6,800.9296
2015,2,8,7,774.0134
2015,2,8,8,858.6818
2015,2,8,9,931.3904
2015,2,8,10,986.784
2015,2,8,11,1032.3104
2015,2,8,12,1022.1531
2015,2,8,13,1017.3754
2015,2,8,14,1015.8573
2015,2,8,15,1016.3893
2015,2,8,16,1010.4936
2015,2,8,17,1003.3968
2015,2,8,18,1059.7039
2015,2,8,19,1065.2475
2015,2,8,20,1054.9267
2015,2,8,21,1038.4146
2015,2,8,22,1016.7235
2015,2,8,23,1012.8988
2015,2,9,0,959.0116
2015,2,9,1,880.5882
2015,2,9,2,851.1215
2015,2,9,3,833.8631
2015,2,9,4,833.7543
2015,2,9,5,870.6097
2015,2,9,6,890.1301
2015,2,9,7,982.9519
2015,2,9,8,1210.6849
2015,2,9,9,1314.1282
2015,2,9,10,1406.5508
2015,2,9,11,1415.3003
2015,2,9,12,1406.0979
2015,2,9,13,1441.7826
2015,2,9,14,1433.6879
2015,2,9,15,1392.8559
2015,2,9,16,1327.5476
2015,2,9,17,1213.3713
2015,2,9,18,1195.2741
2015,2,9,19,1179.7556
2015,2,9,20,1129.5416
2015,2,9,21,1085.3999
2015,2,9,22,1036.7993
2015,2,9,23,1014.2258
2015,2,10,0,961.6354
2015,2,10,1,883.7256
2015,2,10,2,855.3336
2015,2,10,3,832.9092
2015,2,10,4,822.678
2015,2,10,5,834.3291
2015,2,10,6,860.0151
2015,2,10,7,964.4737
2015,2,10,8,1181.6389
2015,2,10,9,1283.444
2015,2,10,10,1349.594
2015,2,10,11,1393.4676
2015,2,10,12,1377.4329
2015,2,10,13,1385.6637
2015,2,10,14,1383.2887
2015,2,10,15,1352.0692
2015,2,10,16,1287.1489
2015,2,10,17,1173.248
2015,2,10,18,1198.9178
2015,2,10,19,1172.5061
2015,2,10,20,1107.3206
2015,2,10,21,1059.2369
2015,2,10,22,1015.8175
2015,2,10,23,977.3639
2015,2,11,0,935.2402
2015,2,11,1,859.0091
2015,2,11,2,830.414
2015,2,11,3,812.5156
2015,2,11,4,813.6721
2015,2,11,5,815.1595
2015,2,11,6,880.9285
2015,2,11,7,981.2672
2015,2,11,8,1165.6423
2015,2,11,9,1240.239
2015,2,11,10,1338.6218
2015,2,11,11,1368.8503
2015,2,11,12,1354.8851
2015,2,11,13,1383.6439
2015,2,11,14,1392.0556
2015,2,11,15,1352.2644
2015,2,11,16,1299.7261
2015,2,11,17,1184.4338
2015,2,11,18,1183.8355
2015,2,11,19,1178.5514
2015,2,11,20,1139.3629
2015,2,11,21,1076.4885
2015,2,11,22,1021.898
2015,2,11,23,1002.074
2015,2,12,0,961.4447
2015,2,12,1,889.6502
2015,2,12,2,867.8406
2015,2,12,3,846.8156
2015,2,12,4,840.7279
2015,2,12,5,839.8661
2015,2,12,6,902.7975
2015,2,12,7,991.4981
2015,2,12,8,1161.8127
2015,2,12,9,1271.0362
2015,2,12,10,1327.1989
2015,2,12,11,1373.452
2015,2,12,12,1363.3484
2015,2,12,13,1388.2038
2015,2,12,14,1402.0434
2015,2,12,15,1348.6144
2015,2,12,16,1289.1745
2015,2,12,17,1176.8976
2015,2,12,18,1145.8117
2015,2,12,19,1148.0541
2015,2,12,20,1104.2189
2015,2,12,21,1081.2243
2015,2,12,22,1011.6547
2015,2,12,23,1008.318
2015,2,13,0,964.9228
2015,2,13,1,896.513
2015,2,13,2,875.0788
2015,2,13,3,856.1456
2015,2,13,4,861.3259
2015,2,13,5,866.2931
2015,2,13,6,922.5536
2015,2,13,7,1022.5215
2015,2,13,8,1198.8038
2015,2,13,9,1294.0633
2015,2,13,10,1377.8942
2015,2,13,11,1396.7702
2015,2,13,12,1394.7901
2015,2,13,13,1402.9209
2015,2,13,14,1366.2013
2015,2,13,15,1293.1245
2015,2,13,16,1223.5003
