Hour,Day,Month,Year,Demand(MW),Day_of_week
1,2,6,2021,10739,4
2,2,6,2021,10883,4
3,2,6,2021,11026,4
4,2,6,2021,10714,4
5,2,6,2021,10397,4
6,2,6,2021,10158,4
7,2,6,2021,9917,4
8,2,6,2021,9855,4
9,2,6,2021,9793,4
10,2,6,2021,9425,4
11,2,6,2021,9052,4
12,2,6,2021,8741,4
13,2,6,2021,8428,4
14,2,6,2021,8320,4
15,2,6,2021,8209,4
16,2,6,2021,8150,4
17,2,6,2021,8088,4
18,2,6,2021,8029,4
19,2,6,2021,8233,4
20,2,6,2021,8779,4
21,2,6,2021,9059,4
22,2,6,2021,9208,4
23,2,6,2021,9351,4
24,2,6,2021,12727,4
1,3,6,2021,12308,5
2,3,6,2021,12308,5
3,3,6,2021,12308,5
4,3,6,2021,12308,5
5,3,6,2021,12308,5
6,3,6,2021,9881,5
7,3,6,2021,9686,5
8,3,6,2021,9782,5
9,3,6,2021,10254,5
10,3,6,2021,10583,5
11,3,6,2021,10931,5
12,3,6,2021,11290,5
13,3,6,2021,11319,5
14,3,6,2021,11047,5
15,3,6,2021,11070,5
16,3,6,2021,10771,5
17,3,6,2021,10418,5
18,3,6,2021,9973,5
19,3,6,2021,11230,5
20,3,6,2021,12572,5
21,3,6,2021,12754,5
22,3,6,2021,12628,5
23,3,6,2021,12634,5
24,3,6,2021,12476,5
1,4,6,2021,11653,6
2,4,6,2021,11276,6
3,4,6,2021,10829,6
4,4,6,2021,10490,6
5,4,6,2021,10097,6
6,4,6,2021,9196,6
7,4,6,2021,8810,6
8,4,6,2021,8543,6
9,4,6,2021,8541,6
10,4,6,2021,8612,6
11,4,6,2021,8690,6
12,4,6,2021,9153,6
13,4,6,2021,9380,6
14,4,6,2021,9296,6
15,4,6,2021,9548,6
16,4,6,2021,9245,6
17,4,6,2021,8645,6
18,4,6,2021,8416,6
19,4,6,2021,10010,6
20,4,6,2021,11269,6
21,4,6,2021,11584,6
22,4,6,2021,11438,6
23,4,6,2021,11321,6
24,4,6,2021,11257,6
1,5,6,2021,11821,7
2,5,6,2021,11538,7
3,5,6,2021,11099,7
4,5,6,2021,10823,7
5,5,6,2021,10280,7
6,5,6,2021,9550,7
7,5,6,2021,9065,7
8,5,6,2021,8452,7
9,5,6,2021,8346,7
10,5,6,2021,8858,7
11,5,6,2021,9202,7
12,5,6,2021,9887,7
13,5,6,2021,10541,7
14,5,6,2021,10129,7
15,5,6,2021,9756,7
16,5,6,2021,9444,7
17,5,6,2021,9119,7
18,5,6,2021,8959,7
19,5,6,2021,10063,7
20,5,6,2021,11090,7
21,5,6,2021,11262,7
22,5,6,2021,11402,7
23,5,6,2021,11420,7
24,5,6,2021,11286,7
1,6,6,2021,10906,1
2,6,6,2021,10421,1
3,6,6,2021,10125,1
4,6,6,2021,9499,1
5,6,6,2021,9322,1
6,6,6,2021,8827,1
7,6,6,2021,8658,1
8,6,6,2021,9009,1
9,6,6,2021,9281,1
10,6,6,2021,9637,1
11,6,6,2021,9459,1
12,6,6,2021,10141,1
13,6,6,2021,10805,1
14,6,6,2021,10426,1
15,6,6,2021,9780,1
16,6,6,2021,9037,1
17,6,6,2021,8548,1
18,6,6,2021,8492,1
19,6,6,2021,9377,1
20,6,6,2021,9952,1
21,6,6,2021,10227,1
22,6,6,2021,10204,1
23,6,6,2021,10104,1
24,6,6,2021,10099,1
1,7,6,2021,9915,2
2,7,6,2021,9666,2
3,7,6,2021,9388,2
4,7,6,2021,9134,2
5,7,6,2021,8956,2
6,7,6,2021,8403,2
7,7,6,2021,8378,2
8,7,6,2021,8628,2
9,7,6,2021,9097,2
10,7,6,2021,9769,2
11,7,6,2021,10240,2
12,7,6,2021,10513,2
13,7,6,2021,10955,2
14,7,6,2021,10921,2
15,7,6,2021,10981,2
16,7,6,2021,10205,2
17,7,6,2021,9477,2
18,7,6,2021,8657,2
19,7,6,2021,9853,2
20,7,6,2021,10602,2
21,7,6,2021,10869,2
22,7,6,2021,11066,2
23,7,6,2021,10986,2
24,7,6,2021,10846,2
1,8,6,2021,10412,3
2,8,6,2021,10104,3
3,8,6,2021,9820,3
4,8,6,2021,9598,3
5,8,6,2021,9223,3
6,8,6,2021,8540,3
7,8,6,2021,8374,3
8,8,6,2021,8393,3
9,8,6,2021,8781,3
10,8,6,2021,9261,3
11,8,6,2021,9670,3
12,8,6,2021,9916,3
13,8,6,2021,10251,3
14,8,6,2021,10222,3
15,8,6,2021,10473,3
16,8,6,2021,10463,3
17,8,6,2021,10042,3
18,8,6,2021,9692,3
19,8,6,2021,11062,3
20,8,6,2021,12181,3
21,8,6,2021,12411,3
22,8,6,2021,12158,3
23,8,6,2021,12018,3
24,8,6,2021,11540,3
1,9,6,2021,11143,4
2,9,6,2021,10636,4
3,9,6,2021,10394,4
4,9,6,2021,10154,4
5,9,6,2021,9940,4
6,9,6,2021,9272,4
7,9,6,2021,9150,4
8,9,6,2021,9143,4
9,9,6,2021,9598,4
10,9,6,2021,10195,4
11,9,6,2021,10336,4
12,9,6,2021,10589,4
13,9,6,2021,10514,4
14,9,6,2021,10426,4
15,9,6,2021,10875,4
16,9,6,2021,10874,4
17,9,6,2021,10550,4
18,9,6,2021,10012,4
19,9,6,2021,11170,4
20,9,6,2021,12683,4
21,9,6,2021,12803,4
22,9,6,2021,12674,4
23,9,6,2021,12612,4
24,9,6,2021,12290,4
1,10,6,2021,10892,5
2,10,6,2021,10408,5
3,10,6,2021,10141,5
4,10,6,2021,9880,5
5,10,6,2021,9596,5
