Date,TIME,GAS,HVDC,P.GEN(GAS).,P.GEN(OIL).,COAL,HYDRO,OIL,TRIPURA,SOLAR,SHORTAGE,Total(Mw),Day_of_week
6/2/2021,1:00,4230,804,2074,2688,500,20,311,112,0,0,10739,4
6/2/2021,2:00,4266,797,1873,2861,575,20,356,135,0,0,10883,4
6/2/2021,3:00,4302,790,1672,3033,650,20,401,158,0,0,11026,4
6/2/2021,4:00,4304,790,1667,2757,650,20,370,156,0,0,10714,4
6/2/2021,5:00,4305,790,1661,2480,649,20,338,154,0,0,10397,4
6/2/2021,6:00,4312,790,1712,2228,655,20,289,152,0,0,10158,4
6/2/2021,7:00,4319,790,1763,1976,660,20,239,150,0,0,9917,4
6/2/2021,8:00,4280,790,1779,1940,660,20,239,147,0,0,9855,4
6/2/2021,9:00,4241,790,1795,1904,660,20,239,144,0,0,9793,4
6/2/2021,10:00,4225,791,1753,1691,660,20,145,140,0,0,9425,4
6/2/2021,11:00,4208,791,1710,1477,660,20,50,136,0,0,9052,4
6/2/2021,12:00,4146,791,1699,1295,635,20,25,129,1,0,8741,4
6/2/2021,13:00,4084,790,1687,1113,610,20,0,122,2,0,8428,4
6/2/2021,14:00,3994,804,1679,1109,590,20,0,121,3,0,8320,4
6/2/2021,15:00,3904,818,1670,1104,570,20,0,120,3,0,8209,4
6/2/2021,16:00,3802,818,1631,1181,575,20,0,120,3,0,8150,4
6/2/2021,17:00,3699,817,1591,1258,580,20,0,120,3,0,8088,4
6/2/2021,18:00,3729,818,1587,1176,565,20,0,124,10,0,8029,4
6/2/2021,19:00,3914,818,1686,1124,535,20,0,111,25,0,8233,4
6/2/2021,20:00,4061,818,1875,1375,505,20,10,89,26,0,8779,4
6/2/2021,21:00,4053,817,1961,1595,490,20,20,84,19,0,9059,4
6/2/2021,22:00,3994,818,1968,1727,490,20,68,95,28,0,9208,4
6/2/2021,23:00,3934,818,1974,1858,490,20,115,106,36,0,9351,4
6/2/2021,24:00,3998,779,2049,4494,700,20,533,154,0,0,12727,4
6/3/2021,1:00,4003,748,2067,4091,700,20,533,146,0,0,12308,5
6/3/2021,2:00,4003,748,2067,4091,700,20,533,146,0,0,12308,5
6/3/2021,3:00,4003,748,2067,4091,700,20,533,146,0,0,12308,5
6/3/2021,4:00,4003,748,2067,4091,700,20,533,146,0,0,12308,5
6/3/2021,5:00,4003,748,2067,4091,700,20,533,146,0,0,12308,5
6/3/2021,6:00,4017,827,1965,2171,570,20,180,124,7,0,9881,5
6/3/2021,7:00,3953,826,1911,2100,560,20,178,118,20,0,9686,5
6/3/2021,8:00,3845,827,1829,2341,550,20,228,110,32,0,9782,5
6/3/2021,9:00,4115,826,1913,2448,530,20,228,110,64,0,10254,5
6/3/2021,10:00,4181,827,1958,2607,530,20,265,104,91,0,10583,5
6/3/2021,11:00,4324,826,1840,2885,530,20,291,118,97,0,10931,5
6/3/2021,12:00,4479,826,1857,2930,530,20,408,128,112,0,11290,5
6/3/2021,13:00,4524,826,1843,2957,470,20,434,134,111,0,11319,5
6/3/2021,14:00,4425,826,1731,2954,470,20,437,108,76,0,11047,5
6/3/2021,15:00,4471,817,1876,2824,470,20,436,84,72,0,11070,5
6/3/2021,16:00,4364,817,1889,2629,470,20,447,92,43,0,10771,5
6/3/2021,17:00,4190,817,1836,2554,470,20,401,114,16,0,10418,5
6/3/2021,18:00,4183,817,1645,2305,469,20,409,120,5,0,9973,5
6/3/2021,19:00,4534,817,1870,2819,470,20,550,150,0,0,11230,5
6/3/2021,20:00,4555,817,2033,3744,580,20,671,152,0,0,12572,5
6/3/2021,21:00,4621,817,2024,3838,640,20,652,142,0,0,12754,5
6/3/2021,22:00,4713,818,2045,3540,700,20,648,144,0,0,12628,5
6/3/2021,23:00,4828,892,2020,3380,700,20,648,146,0,0,12634,5
6/3/2021,24:00,4817,893,2019,3331,690,20,562,144,0,0,12476,5
6/4/2021,1:00,4563,905,2047,2912,649,25,414,138,0,0,11653,6
