TIME,Day_of_week,Month,Day,Year,Demand(kW)
1:00,4,6,2,2021,10739
2:00,4,6,2,2021,10883
3:00,4,6,2,2021,11026
4:00,4,6,2,2021,10714
5:00,4,6,2,2021,10397
6:00,4,6,2,2021,10158
7:00,4,6,2,2021,9917
8:00,4,6,2,2021,9855
9:00,4,6,2,2021,9793
10:00,4,6,2,2021,9425
11:00,4,6,2,2021,9052
12:00,4,6,2,2021,8741
13:00,4,6,2,2021,8428
14:00,4,6,2,2021,8320
15:00,4,6,2,2021,8209
16:00,4,6,2,2021,8150
17:00,4,6,2,2021,8088
18:00,4,6,2,2021,8029
19:00,4,6,2,2021,8233
20:00,4,6,2,2021,8779
21:00,4,6,2,2021,9059
22:00,4,6,2,2021,9208
23:00,4,6,2,2021,9351
24:00,4,6,2,2021,12727
1:00,5,6,3,2021,12308
2:00,5,6,3,2021,12308
3:00,5,6,3,2021,12308
4:00,5,6,3,2021,12308
5:00,5,6,3,2021,12308
6:00,5,6,3,2021,9881
7:00,5,6,3,2021,9686
8:00,5,6,3,2021,9782
9:00,5,6,3,2021,10254
10:00,5,6,3,2021,10583
11:00,5,6,3,2021,10931
12:00,5,6,3,2021,11290
13:00,5,6,3,2021,11319
14:00,5,6,3,2021,11047
15:00,5,6,3,2021,11070
16:00,5,6,3,2021,10771
17:00,5,6,3,2021,10418
18:00,5,6,3,2021,9973
19:00,5,6,3,2021,11230
20:00,5,6,3,2021,12572
21:00,5,6,3,2021,12754
22:00,5,6,3,2021,12628
23:00,5,6,3,2021,12634
24:00,5,6,3,2021,12476
1:00,6,6,4,2021,11653
2:00,6,6,4,2021,11276
3:00,6,6,4,2021,10829
4:00,6,6,4,2021,10490
5:00,6,6,4,2021,10097
6:00,6,6,4,2021,9196
7:00,6,6,4,2021,8810
8:00,6,6,4,2021,8543
9:00,6,6,4,2021,8541
10:00,6,6,4,2021,8612
11:00,6,6,4,2021,8690
12:00,6,6,4,2021,9153
13:00,6,6,4,2021,9380
14:00,6,6,4,2021,9296
15:00,6,6,4,2021,9548
16:00,6,6,4,2021,9245
17:00,6,6,4,2021,8645
18:00,6,6,4,2021,8416
19:00,6,6,4,2021,10010
