Year,Month,Day,Hour,Demand(kW),Day_of_week,Holiday,Demand(MW),Multiply
2021,6,2,1,214.78,4,1,10739,0.02
2021,6,2,2,217.66,4,1,10883,0.03
2021,6,2,3,220.52,4,1,11026,
2021,6,2,4,214.28,4,1,10714,
2021,6,2,5,207.94,4,1,10397,
2021,6,2,6,203.16,4,1,10158,
2021,6,2,7,198.34,4,1,9917,
2021,6,2,8,197.1,4,1,9855,
2021,6,2,9,195.86,4,1,9793,
2021,6,2,10,188.5,4,1,9425,
2021,6,2,11,181.04,4,1,9052,
2021,6,2,12,174.82,4,1,8741,
2021,6,2,13,168.56,4,1,8428,
2021,6,2,14,166.4,4,1,8320,
2021,6,2,15,164.18,4,1,8209,
2021,6,2,16,163,4,1,8150,
2021,6,2,17,161.76,4,1,8088,
2021,6,2,18,160.58,4,1,8029,
2021,6,2,19,164.66,4,1,8233,
2021,6,2,20,175.58,4,1,8779,
2021,6,2,21,181.18,4,1,9059,
2021,6,2,22,184.16,4,1,9208,
2021,6,2,23,187.02,4,1,9351,
2021,6,2,24,254.54,4,1,12727,
2021,6,3,1,246.16,5,1,12308,
2021,6,3,2,246.16,5,1,12308,
2021,6,3,3,246.16,5,1,12308,
2021,6,3,4,246.16,5,1,12308,
2021,6,3,5,246.16,5,1,12308,
2021,6,3,6,197.62,5,1,9881,
2021,6,3,7,193.72,5,1,9686,
2021,6,3,8,195.64,5,1,9782,
2021,6,3,9,205.08,5,1,10254,
2021,6,3,10,211.66,5,1,10583,
2021,6,3,11,218.62,5,1,10931,
2021,6,3,12,225.8,5,1,11290,
2021,6,3,13,226.38,5,1,11319,
2021,6,3,14,220.94,5,1,11047,
2021,6,3,15,221.4,5,1,11070,
2021,6,3,16,215.42,5,1,10771,
2021,6,3,17,208.36,5,1,10418,
2021,6,3,18,199.46,5,1,9973,
2021,6,3,19,224.6,5,1,11230,
2021,6,3,20,251.44,5,1,12572,
2021,6,3,21,255.08,5,1,12754,
2021,6,3,22,252.56,5,1,12628,
2021,6,3,23,252.68,5,1,12634,
2021,6,3,24,249.52,5,1,12476,
2021,6,4,1,233.06,6,1,11653,
2021,6,4,2,225.52,6,1,11276,
2021,6,4,3,216.58,6,1,10829,
2021,6,4,4,209.8,6,1,10490,
2021,6,4,5,201.94,6,1,10097,
2021,6,4,6,183.92,6,1,9196,
2021,6,4,7,176.2,6,1,8810,
2021,6,4,8,170.86,6,1,8543,
2021,6,4,9,170.82,6,1,8541,
2021,6,4,10,172.24,6,1,8612,
2021,6,4,11,173.8,6,1,8690,
2021,6,4,12,183.06,6,1,9153,
2021,6,4,13,187.6,6,1,9380,
2021,6,4,14,185.92,6,1,9296,
2021,6,4,15,190.96,6,1,9548,
2021,6,4,16,184.9,6,1,9245,
2021,6,4,17,172.9,6,1,8645,
2021,6,4,18,168.32,6,1,8416,
2021,6,4,19,200.2,6,1,10010,
2021,6,4,20,225.38,6,1,11269,
2021,6,4,21,231.68,6,1,11584,
2021,6,4,22,228.76,6,1,11438,
2021,6,4,23,226.42,6,1,11321,
2021,6,4,24,225.14,6,1,11257,
2021,6,5,1,236.42,7,1,11821,
2021,6,5,2,230.76,7,1,11538,
2021,6,5,3,221.98,7,1,11099,
2021,6,5,4,216.46,7,1,10823,
2021,6,5,5,205.6,7,1,10280,
2021,6,5,6,191,7,1,9550,
2021,6,5,7,181.3,7,1,9065,
2021,6,5,8,169.04,7,1,8452,
2021,6,5,9,166.92,7,1,8346,
2021,6,5,10,177.16,7,1,8858,
2021,6,5,11,184.04,7,1,9202,
2021,6,5,12,197.74,7,1,9887,
2021,6,5,13,210.82,7,1,10541,
2021,6,5,14,202.58,7,1,10129,
2021,6,5,15,195.12,7,1,9756,
2021,6,5,16,188.88,7,1,9444,
2021,6,5,17,182.38,7,1,9119,
2021,6,5,18,179.18,7,1,8959,
2021,6,5,19,201.26,7,1,10063,
2021,6,5,20,221.8,7,1,11090,
2021,6,5,21,225.24,7,1,11262,
2021,6,5,22,228.04,7,1,11402,
2021,6,5,23,228.4,7,1,11420,
2021,6,5,24,225.72,7,1,11286,
2021,6,6,1,218.12,1,1,10906,
2021,6,6,2,208.42,1,1,10421,
2021,6,6,3,202.5,1,1,10125,
2021,6,6,4,189.98,1,1,9499,
2021,6,6,5,186.44,1,1,9322,
2021,6,6,6,176.54,1,1,8827,
2021,6,6,7,173.16,1,1,8658,
2021,6,6,8,180.18,1,1,9009,
2021,6,6,9,185.62,1,1,9281,
2021,6,6,10,192.74,1,1,9637,
2021,6,6,11,189.18,1,1,9459,
2021,6,6,12,202.82,1,1,10141,
2021,6,6,13,216.1,1,1,10805,
2021,6,6,14,208.52,1,1,10426,
2021,6,6,15,195.6,1,1,9780,
2021,6,6,16,180.74,1,1,9037,
2021,6,6,17,170.96,1,1,8548,
2021,6,6,18,169.84,1,1,8492,
2021,6,6,19,187.54,1,1,9377,
2021,6,6,20,199.04,1,1,9952,
2021,6,6,21,204.54,1,1,10227,
2021,6,6,22,204.08,1,1,10204,
2021,6,6,23,202.08,1,1,10104,
2021,6,6,24,201.98,1,1,10099,
2021,6,7,1,198.3,2,1,9915,
2021,6,7,2,193.32,2,1,9666,
2021,6,7,3,187.76,2,1,9388,
2021,6,7,4,182.68,2,1,9134,
2021,6,7,5,179.12,2,1,8956,
2021,6,7,6,168.06,2,1,8403,
2021,6,7,7,167.56,2,1,8378,
2021,6,7,8,172.56,2,1,8628,
2021,6,7,9,181.94,2,1,9097,
2021,6,7,10,195.38,2,1,9769,
2021,6,7,11,204.8,2,1,10240,
2021,6,7,12,210.26,2,1,10513,
2021,6,7,13,219.1,2,1,10955,
2021,6,7,14,218.42,2,1,10921,
2021,6,7,15,219.62,2,1,10981,
2021,6,7,16,204.1,2,1,10205,
2021,6,7,17,189.54,2,1,9477,
2021,6,7,18,173.14,2,1,8657,
2021,6,7,19,197.06,2,1,9853,
2021,6,7,20,212.04,2,1,10602,
2021,6,7,21,217.38,2,1,10869,
2021,6,7,22,221.32,2,1,11066,
2021,6,7,23,219.72,2,1,10986,
2021,6,7,24,216.92,2,1,10846,
2021,6,8,1,208.24,3,1,10412,
2021,6,8,2,202.08,3,1,10104,
2021,6,8,3,196.4,3,1,9820,
2021,6,8,4,191.96,3,1,9598,
2021,6,8,5,184.46,3,1,9223,
2021,6,8,6,170.8,3,1,8540,
2021,6,8,7,167.48,3,1,8374,
2021,6,8,8,167.86,3,1,8393,
2021,6,8,9,175.62,3,1,8781,
2021,6,8,10,185.22,3,1,9261,
2021,6,8,11,193.4,3,1,9670,
2021,6,8,12,198.32,3,1,9916,
2021,6,8,13,205.02,3,1,10251,
2021,6,8,14,204.44,3,1,10222,
2021,6,8,15,209.46,3,1,10473,
2021,6,8,16,209.26,3,1,10463,
2021,6,8,17,200.84,3,1,10042,
2021,6,8,18,193.84,3,1,9692,
2021,6,8,19,221.24,3,1,11062,
2021,6,8,20,243.62,3,1,12181,
2021,6,8,21,248.22,3,1,12411,
2021,6,8,22,243.16,3,1,12158,
2021,6,8,23,240.36,3,1,12018,
2021,6,8,24,230.8,3,1,11540,
2021,6,9,1,222.86,4,1,11143,
2021,6,9,2,212.72,4,1,10636,
2021,6,9,3,207.88,4,1,10394,
2021,6,9,4,203.08,4,1,10154,
2021,6,9,5,198.8,4,1,9940,
2021,6,9,6,185.44,4,1,9272,
2021,6,9,7,183,4,1,9150,
2021,6,9,8,182.86,4,1,9143,
2021,6,9,9,191.96,4,1,9598,
2021,6,9,10,203.9,4,1,10195,
2021,6,9,11,206.72,4,1,10336,
2021,6,9,12,211.78,4,1,10589,
2021,6,9,13,210.28,4,1,10514,
2021,6,9,14,208.52,4,1,10426,
2021,6,9,15,217.5,4,1,10875,
2021,6,9,16,217.48,4,1,10874,
2021,6,9,17,211,4,1,10550,
2021,6,9,18,200.24,4,1,10012,
2021,6,9,19,223.4,4,1,11170,
2021,6,9,20,253.66,4,1,12683,
2021,6,9,21,256.06,4,1,12803,
2021,6,9,22,253.48,4,1,12674,
2021,6,9,23,252.24,4,1,12612,
