Year,Month,Day,Hour,Demand(kW),Day_of_week,Holiday
2021,6,2,1,214.78,4,1
2021,6,2,2,217.66,4,1
2021,6,2,3,220.52,4,1
2021,6,2,4,214.28,4,1
2021,6,2,5,207.94,4,1
2021,6,2,6,203.16,4,1
2021,6,2,7,198.34,4,1
2021,6,2,8,197.1,4,1
2021,6,2,9,195.86,4,1
2021,6,2,10,188.5,4,1
2021,6,2,11,181.04,4,1
2021,6,2,12,174.82,4,1
2021,6,2,13,168.56,4,1
2021,6,2,14,166.4,4,1
2021,6,2,15,164.18,4,1
2021,6,2,16,163.0,4,1
2021,6,2,17,161.76,4,1
2021,6,2,18,160.58,4,1
2021,6,2,19,164.66,4,1
2021,6,2,20,175.58,4,1
2021,6,2,21,181.18,4,1
2021,6,2,22,184.16,4,1
2021,6,2,23,187.02,4,1
2021,6,2,24,254.54,4,1
2021,6,3,1,246.16,5,1
2021,6,3,2,246.16,5,1
2021,6,3,3,246.16,5,1
2021,6,3,4,246.16,5,1
2021,6,3,5,246.16,5,1
2021,6,3,6,197.62,5,1
2021,6,3,7,193.72,5,1
2021,6,3,8,195.64,5,1
2021,6,3,9,205.08,5,1
2021,6,3,10,211.66,5,1
2021,6,3,11,218.62,5,1
2021,6,3,12,225.8,5,1
2021,6,3,13,226.38,5,1
2021,6,3,14,220.94,5,1
2021,6,3,15,221.4,5,1
2021,6,3,16,215.42,5,1
2021,6,3,17,208.36,5,1
2021,6,3,18,199.46,5,1
2021,6,3,19,224.6,5,1
2021,6,3,20,251.44,5,1
2021,6,3,21,255.08,5,1
2021,6,3,22,252.56,5,1
2021,6,3,23,252.68,5,1
2021,6,3,24,249.52,5,1
2021,6,4,1,233.06,6,1
2021,6,4,2,225.52,6,1
2021,6,4,3,216.58,6,1
2021,6,4,4,209.8,6,1
2021,6,4,5,201.94,6,1
2021,6,4,6,183.92,6,1
2021,6,4,7,176.2,6,1
2021,6,4,8,170.86,6,1
2021,6,4,9,170.82,6,1
2021,6,4,10,172.24,6,1
